What,Where,When,How_Much

Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Fri 1 December 2017, 3 pm.",(Free admission)

"Verdenspremiere ""BASSCHOK !"" FonnesbÃ¦k, Bodilsen &amp; Petri.","Jazzcup, Gothersgade 107, Copenhagen K","Fri 1 December 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"

December jazz.,"TÃ¥rnby Hovedbibliotek, Kamillevej 10, Kastrup","Fri 1 December 2017, 3.30 pm  - 5.30 pm.",(Free admission)

Fredagskoncert.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 1 December 2017, 4.30 pm  - 5.30 pm.", 

Julekalenderkoncert med Vokalgruppen RUM.,"Anna Kirke, Bjelkes AllÃ© 19-21, Copenhagen N","Fri 1 December 2017, 4.30 pm  - 6 pm.", 

Bjarke Mogensen spiller Domenico Scarlatti.,"Frederiksberg Slotskirke, Roskildevej 28, Frederiksberg","Fri 1 December 2017, 5 pm.",(Free admission)

Advent I.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 1 December 2017, 5 pm.",(Free admission)

LystÃ¦ndingsfest pÃ¥ Vesterbros Torv.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Fri 1 December 2017, 5 pm  - 6 pm.", 

Adventskoncert med Trio con Brio.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 1 December 2017, 5 pm  - 6 pm.", 


Bouzouki og Buffet.,"CafÃ© Patina, Mysundegade 26, Copenhagen V","Fri 1 December 2017, 6 pm  - 12 pm.",(Entrance fee: 199)

"Juleoratoriet, I.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 1 December 2017, 7.30 pm.",(Entrance fee: 73 - 452 DKK)

DrÃ¸mmende poetisk ambientkoncert i Frihavnskirken.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Fri 1 December 2017, 7.30 pm.",(Entrance fee: 50)

Niels Skousen - Solo // Udsolgt.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 1 December 2017, 7.30 pm.",(Entrance fee: Udsolgt)

Spirit of New Orleans.,"Kulturhuset BrÃ¸nden, BrÃ¸ndby Strand Centrum 60, BrÃ¸ndby Strand","Fri 1 December 2017, 7.30 pm, Spisning 6 pm.",(Entrance fee: 100 DKK. / 50 DKK. for medl.)

Koncert sang og orgel.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Fri 1 December 2017, 7.30 pm  - 8.30 pm.", 

Adventskoncert med Hans Egedes Kirkekor og Lundehus Kirkes kor.,"Hans Egedes Kirke, Vardegade 14, Copenhagen Ã˜","Fri 1 December 2017, 7.30 pm  - 8.30 pm.", 

Stig Rossen Julekoncert 2017.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 1 December 2017, 8 pm.",(Entrance fee: 420 - 440 Kr.)

Marc Facchini (DK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Fri 1 December 2017, 8 pm.","(Entrance fee: 140,00 DKK)"

Ronnie Cuber &amp; Danish All Stars B-3 Band.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 1 December 2017, 8 pm.",(Entrance fee: 335 DKK + evt. gebyr)

Koncert med The Real Group.,"Christians Kirke, Strandgade 1, Copenhagen K","Fri 1 December 2017, 8 pm  - 9 pm.", 

Amagerbro Jazz: Pierre DÃ¸rge & New Jungle Orchestra.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Fri 1 December 2017, 8 pm  - 9.30 pm.",(Entrance fee: 100/50)

Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 1 December 2017, 8.30 pm.", 

PhÃ¸nix.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Fri 1 December 2017, 8.30 pm.",(Entrance fee: 80)

Marvelous Mosell.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Fri 1 December 2017, 9 pm.",(Entrance fee: 190 DKK)

Temple of Doom prÃ¦senterer: Artillery.,"Templet, Jernbanevej 16, Kongens Lyngby","Fri 1 December 2017, 9 pm.","(Entrance fee: 125,00 DKK)"

Wolf Parade.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Fri 1 December 2017, 9 pm.",(Entrance fee: 220 DKK)

Rattlers - Power Rock/Blues.,"Bartof Station, Solbjergvej 3, Frederiksberg","Fri 1 December 2017, 9 pm.","(Entrance fee: 110,00 dkk - 235,00 dkk)"

Manish Pingle Duo feat. Mirwais Fedai (IN/DK).,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Fri 1 December 2017, 9 pm.",(Entrance fee: 120 DKK)

Paul Harrison Band.,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 1 December 2017, 9 pm.","(Entrance fee: Entre 125 DKK, Entre + Jazzmenu 275 DKK)"


BersÃ¦rk + Support - FÃ¥ Billetter.,"Beta, Ã˜resundsvej 6, Copenhagen S","Fri 1 December 2017, 9 pm.","(Entrance fee: 95,00 DKK)"

Casey Jones.,"VÃ¦rtshuset Pinden, Reventlowsgade 4, Copenhagen V","Fri 1 December 2017, 9 pm  - 1 am.",(Free admission)

Brekete Sounds (Ghana).,"VerdensKulturCentret, NÃ¸rre AllÃ© 7, Copenhagen N","Fri 1 December 2017, 9 pm  - 11 pm.",(Entrance fee: 50 DKK. i forsalg - 60 DKK. i dÃ¸ren)

Blues overdrive.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Fri 1 December 2017, 10 pm.",(Entrance fee: 80)

Rust Natklub.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 1 December 2017, 11 pm.", 

TigertrÃ¦ning Legekoncert.,"Prismen, Holmbladsgade 71, Copenhagen S","Sat 2 December 2017, 10 am.",(Entrance fee: 50kr - Billetsalg kommer snart)

Gospel-workshop for alle!,"Lyngby Frikirke, ToftebÃ¦ksvej 13, Kongens Lyngby","Sat 2 December 2017, 10 am  - 5 pm.",(Entrance fee: 120 DKK.)

Ab/cd - Juleshow.,"KU.BE, Dirch Passers AllÃ© 4, Frederiksberg","Sat 2 December 2017, 11 am.",(Entrance fee: 75 DKK)

Kalles Store JuleTrommeshow.,"Herlev Medborgerhus, HerlevgÃ¥rdsvej 18-20, Herlev","Sat 2 December 2017, 11 am.",(Free admission)

Dans mellem bÃ¸gerne med dine bÃ¸rnebÃ¸rn.,"FuresÃ¸ Bibliotek & Borgerservice, Farum, Kulturhuset, Stavnsholtvej 3, Farum","Sat 2 December 2017, 11 am.",(Entrance fee: Gratis billetter)

Big Creek Slim og Peter Nande i Farum Kulturhus.,"Farum Kulturhus, Stavnsholtvej 3, Farum","Sat 2 December 2017, 11.30 am.",(Free admission)

OrgelmatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 2 December 2017, 12 am.",(Free admission)

HÃ¸reforeningen BrÃ¸ndby Lokalafdeling.Julefrokost med underholdning.,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby","Sat 2 December 2017, 12 am  to 15.",(Entrance fee: 50.00 for ikke medlemmer)

Julestue og Julekoncert med Albertslund koret.,"HerstedÃ¸ster Kirke, HerstedÃ¸stergade 5, Albertslund","Sat 2 December 2017, 1 pm  - 4 pm.", 

Julekoncert med SÃ¸borggaardkoret.,"SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg","Sat 2 December 2017, 2 pm  - 3 pm.", 

Hvidovre Musikskoles kor.,"Risbjerg Kirke, Kirkegade 2, Hvidovre","Sat 2 December 2017, 2 pm  - 4 pm.", 

"""Dynamics"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 2 December 2017, 2.30 pm.","(Entrance fee: 100,-(80,-))"

Familiejulekoncert.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Sat 2 December 2017, 3 pm.",(Free admission)

Sigurd fortÃ¦ller Danmarkshistorie.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 2 December 2017, 3 pm  & 5 pm.",(Entrance fee: 50 - 190 DKK)

Bach - H-mol Messe / Copenhagen Soloists.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 2 December 2017, 4 pm.",(Entrance fee: 200 DKK)


Messias i Marmorkirken.,"Marmorkirken, Frederiksgade 4, Copenhagen K","Sat 2 December 2017, 4 pm.","(Entrance fee: 135,00 dkk - 235,00 dkk)"

Julekoncert med Con Brio-koret.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Sat 2 December 2017, 4 pm.",(Free admission)

Julekoncert CBS International Choir.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Sat 2 December 2017, 4 pm  - 5 pm.", 

Bach: H-mol Messen med Copenhagen Soloists.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 2 December 2017, 4 pm  - 7 pm.", 

Caroline Henderson - Julekoncert 2017.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Sat 2 December 2017, 5 pm.","(Entrance fee: 275,00 DKK)"

Advents Vesper.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 2 December 2017, 7 pm.",(Free admission)

Christmas is Coming.,"Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup","Sat 2 December 2017, 7 pm.","(Entrance fee: 150,00 DKK)"

Juleoratoriet.,"Sankt Jakobs Kirke, Ã˜sterbrogade 59, Copenhagen Ã˜","Sat 2 December 2017, 7.30 pm  - 8.30 pm.", 

Peter Sommer &amp; Tiggerne.,"VEGA, Enghavevej 40, Copenhagen V","Sat 2 December 2017, 8 pm.","(Entrance fee: 225,00 DKK)"

Chimbos Revival & Innkeepers.,"Herlev Hallen, Tvedvangen 198, Herlev","Sat 2 December 2017, 8 pm.", 

Caroline Henderson - Julekoncert 2017.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Sat 2 December 2017, 8 pm.","(Entrance fee: 275,00 DKK)"

Stillborn.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Sat 2 December 2017, 8 pm.",(Entrance fee: 210 DKK)

Mando diao.,"VEGA, Enghavevej 40, Copenhagen V","Sat 2 December 2017, 8 pm.",(Entrance fee: 200 DKK)

Vinbar med tapas og live musik.,"Cafe Delight ApS, Borups Alle 112, Frederiksberg","Sat 2 December 2017, 8 pm.",(Free admission)

Litauisk julekoncert.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 2 December 2017, 8 pm.",(Entrance fee: 190)

Ronnie Cuber &amp; Danish All Stars B-3 Band.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 2 December 2017, 8 pm.",(Entrance fee: 335 DKK + evt. gebyr)

Rachel Foxx (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 2 December 2017, 8 pm.","(Entrance fee: 135,00 DKK)"

Copenhagen Folk Club prÃ¦senterer den danske visesanger Fin Alfred og det unge irske band Na Leanai!,"KU.BE, Dirch Passers AllÃ© 4, Frederiksberg","Sat 2 December 2017, 8 pm.",(Entrance fee: 70/100)

Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 2 December 2017, 8.30 pm.", 

Jon NÃ¸rgaard.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Sat 2 December 2017, 9 pm.","(Entrance fee: 200,00 DKK)"


Klimaforandringer.,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Sat 2 December 2017, 9 pm.",(Entrance fee: 100 DKK)

Nordic Giants (UK) + Support.,"Beta, Ã˜resundsvej 6, Copenhagen S","Sat 2 December 2017, 9 pm.","(Entrance fee: 95,00 DKK)"

Suburban Summit #3.,"ForbrÃ¦ndingen, Vognporten 11, Albertslund","Sat 2 December 2017, 9 pm.",(Entrance fee: 249 DKK + evt. gebyr)

ODZ pÃ¥ Loppen!,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Sat 2 December 2017, 9 pm.",(Entrance fee: 125 DKK)

Funky julefest: Papa's Got a Brand New Bag - James Brown Tribute.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 2 December 2017, 9 pm.",(Entrance fee: 175 DKK. + gebyr - 200 DKK i dÃ¸ren)

Big Joe Louis.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Sat 2 December 2017, 10 pm.",(Entrance fee: 100 DKK)

Denzel Curry (US).,"Rust, Guldbergsgade 8, Copenhagen N","Sat 2 December 2017, 11 pm.", 

Flavour.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 2 December 2017, 11 pm.", 

Julekoncert Lyngby Scenekunst.,"Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund","Sun 3 December 2017, 1 pm.", 

"Julesang, juleklip og hygge v. Mathias Hammer.","Den Hirschsprungske Samling, Stockholmsgade 20, Copenhagen Ã˜","Sun 3 December 2017, 1 pm  - 3 pm.",(Entrance fee: 85 DKK. /gratis for bÃ¸rn under 18)

JulematinÃ© i Kilden.,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby","Sun 3 December 2017, 1 pm  - 4 pm.",(Free admission)

Mig og kunsten. Koncert med Bent Fabricius-Bjerre.,"Statens Museum for Kunst, SÃ¸lvgade 48-50, Copenhagen K","Sun 3 December 2017, 2 pm  - 3 pm.",(Entrance fee: 225 DKK. frem til. 9. november. 250 DKK. derefter)

SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre","Sun 3 December 2017, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)

Julekoncert med Harmonize.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Sun 3 December 2017, 3 pm.",(Free admission)

Trio Satie Salonkoncert med julestemning.,"Chemnitz, Ã˜sterbrogade 132, Copenhagen Ã˜","Sun 3 December 2017, 3 pm.",(Entrance fee: 100 DKK.)

Lars Thorborg: 30 Ã¥r i Jazzens Tjeneste.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sun 3 December 2017, 3 pm.",(Entrance fee: 60 DKK + evt. gebyr)

Adventskoncert i BagsvÃ¦rd Kirke.,"BagsvÃ¦rd Kirke, Taxvej 14-16, BagsvÃ¦rd","Sun 3 December 2017, 3 pm.", 

Koncert med Sct. Thomas kirkes kammerkor.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Sun 3 December 2017, 3 pm  - 4 pm.", 

Kor Koncert.,"Sct. Lukas Kirke, Christian Richardtsvej 1 - 3, Frederiksberg C","Sun 3 December 2017, 3 pm  - 4 pm.", 

Adventskoncert og fÃ¦llessang over Martin Luthers salmer.,"RÃ¸nnevang Kirke, Taastrup Hovedgade 150, Taastrup","Sun 3 December 2017, 3 pm  - 4 pm.", 


JulestÃ¸ttekoncert v/ amalie og kons studerende.,"Ansgarkirken, MÃ¥gevej 33, Copenhagen NV","Sun 3 December 2017, 3 pm  - 5 pm.", 

Julekoncert.,"BrÃ¸ndbyÃ¸ster Kirke, BrÃ¸ndbyÃ¸stervej 117 B, BrÃ¸ndby","Sun 3 December 2017, 3 pm  - 5 pm.", 

Det Danske Sangselskab.,"Det kgl. Danske Musikkonservatorium, Studiescenen, RosenÃ¸rns AllÃ© 22, Frederiksberg C","Sun 3 December 2017, 3 pm  - 5 pm.",(Entrance fee: 100)

Messias i Marmorkirken.,"Marmorkirken, Frederiksgade 4, Copenhagen K","Sun 3 December 2017, 4 pm.","(Entrance fee: 135,00 dkk - 235,00 dkk)"

PrÃ¦torius: Julemesse Med Trinitatis Kantori Og Kammerorkester.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Sun 3 December 2017, 4 pm.","(Entrance fee: 140,00 DKK)"

100% Jul med Gospelgeneration KIDS &amp; NEXT.,"KÃ¸bnerkirken, Shetlandsgade 6, Copenhagen S","Sun 3 December 2017, 4 pm.",(Entrance fee: 50 - 100 DKK)

Rytmisk julekoncert.,"VallensbÃ¦k Kirke og SognegÃ¥rd, Kirkebakke AllÃ© 9, VallensbÃ¦k","Sun 3 December 2017, 4 pm  - 5.30 pm.", 

"Adventskoncert med Messiaskirkens Koncertkor: Vivaldi Gloria, Bach Magnificat.","Messiaskirken, Hartmannsvej 46, Charlottenlund","Sun 3 December 2017, 4 pm  - 6.15 pm.", 

Julekoncert med Pavlovskys Balalajkaorkester.,"Husumvold Kirke, Gadelandet 25, BrÃ¸nshÃ¸j","Sun 3 December 2017, 4 pm  - 10 pm.", 

Koncert med Rasmus Lyberth.,"Christians Kirke, Strandgade 1, Copenhagen K","Sun 3 December 2017, 5 pm  - 6 pm.", 

Jazzkoncert.,"Albertslund Jazzklub, Albertslund RÃ¥dhus, Kantinen, Albertslund","Sun 3 December 2017, 6 pm.",(Entrance fee: 250)

Julekoncer Hellerup Scenekunst.,"Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund","Sun 3 December 2017, 6.30 pm.", 

Northlane (AUS).,"VEGA, Enghavevej 40, Copenhagen V","Sun 3 December 2017, 7 pm.","(Entrance fee: 200,00 DKK)"

Koncert med Lundehus -og Hans Egede kirkekor.,"Lundehus Kirke, StrÃ¸damvej 1, Copenhagen Ã˜","Sun 3 December 2017, 7.30 pm  - 8.30 pm.", 

Danmark Synger Julen Ind.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 3 December 2017, 7.45 pm.",(Entrance fee: 160 DKK)

Dicte Hempler - The Dark and Stormy Sessions.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 3 December 2017, 8 pm.",(Entrance fee: 270 DKK)

Ski Mask The Slump God.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Sun 3 December 2017, 8 pm.",(Entrance fee: 280 DKK)

Kims Jul.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 3 December 2017, 8 pm.","(Entrance fee: 275,00 DKK)"

Julekoncert med solist Christina Boelskifte.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ã˜","Sun 3 December 2017, 8 pm.", 

Kim SjÃ¸grens julekoncert.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 3 December 2017, 8 pm  - 10 pm.", 


Big Creek Slim.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Sun 3 December 2017, 9.30 pm.",(Free admission)

Cantus Koret synger julen ind i FRB.C.,"Frederiksberg Centret, Falkoner AllÃ© 21, Frederiksberg","Mon 4 December 2017, 5 pm  - 6 pm.",(Free admission)

Julekoncert med Kuhlaukoret.,"Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby","Mon 4 December 2017, 7 pm  - 8 pm.", 

Italiensk Julekoncert pÃ¥ Metronomen.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Mon 4 December 2017, 7.30 pm.","(Entrance fee: 70,- ell. GRATIS til DANTE Forenings medlemmer)"

Mestre pÃ¥ Mandage XI.,"Det kgl. Danske Musikkonservatorium, Studiescenen, RosenÃ¸rns AllÃ© 22, Frederiksberg C","Mon 4 December 2017, 7.30 pm.",(Free admission)

Danish Music Awards Jazz 2017.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Mon 4 December 2017, 7.30 pm.","(Entrance fee: 120,00 DKK)"

Kammermusikforeningen af 1887: Julekoncert med Zapolski Strygerne.,"Christians Kirke, Strandgade 1, Copenhagen K","Mon 4 December 2017, 7.30 pm  - 8.30 pm.", 

Julekoncert med Farum Gospel.,"Stavnsholtkirken, Stavnsholtvej 25, Farum","Mon 4 December 2017, 7.30 pm  - 9.30 pm.", 

JuleKoncert med OBG.,"SkelgÃ¥rdskirken, Sindingvej 9, Kastrup","Mon 4 December 2017, 7.30 pm  - 9.30 pm.", 

Julekoncert med Joyful Nation.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Mon 4 December 2017, 7.30 pm  - 10 pm.", 

Jazz pÃ¥ BrÃ¸ndby Musikskole.,"BrÃ¸ndby Musikskole, TornehÃ¸j 1, BrÃ¸ndby","Mon 4 December 2017, 8 pm.",(Free admission)

Monday Juke Joint.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Mon 4 December 2017, 9.30 pm.",(Free admission)

Carols by Candlelight - udendÃ¸rs.,"Sct. MatthÃ¦us Kirke, MatthÃ¦usgade 31, Copenhagen V","Tues 5 December 2017, 4.30 pm  - 5 pm.", 

DKDM's Symfoniorkester spiller Petrusjka.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Tues 5 December 2017, 5 pm.",(Free admission)

Julekoncert med MusikhÃ¸jskolen.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Tues 5 December 2017, 6.30 pm.",(Free admission)

100% Jul.,"KÃ¸bnerkirken, Shetlandsgade 6, Copenhagen S","Tues 5 December 2017, 7 pm.",(Entrance fee: 50 - 100 DKK)

Julekoncert med tre lokale kor.,"Nathanaels Kirke, Holmbladsgade 19, Copenhagen S","Tues 5 December 2017, 7 pm.",(Free admission)

Ann-Mette Elten Julekoncert 2017.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 5 December 2017, 7.30 pm.","(Entrance fee: 150,00 DKK)"

Na Leanai.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 5 December 2017, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)

Julekoncert med Tritonuskoret.,"SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg","Tues 5 December 2017, 7.30 pm  - 8.30 pm.", 


Julekoncert med Helleruplundkoret.,"Helleruplund Kirke, Bernstorffsvej 73, Hellerup","Tues 5 December 2017, 7.30 pm  - 8.30 pm.", 

Koncert m/ Marie Carmen Koppel.,"Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup","Tues 5 December 2017, 7.30 pm  - 9.30 pm.", 

Julekoncert med Ann-Mette Elten.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 5 December 2017, 7.30 pm  - 9.30 pm.", 

Spillemandsdansen spiller op til folkedans pÃ¥ Lindegaarden - CafÃ©aften - Ingen undervisning.,"Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby","Tues 5 December 2017, 7.30 pm  - 9.45 pm.",(Entrance fee: 100 DKK pr. Ã¥r)

The Necks (AU).,"Brorsons Kirke, Rantzausgade 49, Copenhagen N","Tues 5 December 2017, 8 pm.",(Entrance fee: 160 DKK)

Tank And The Bangas (US).,"VEGA, Enghavevej 40, Copenhagen V","Tues 5 December 2017, 8 pm.","(Entrance fee: 175,00 DKK)"

Royal Thunder.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Tues 5 December 2017, 8 pm.","(Entrance fee: 185,00 DKK)"

Releasekoncert med Baobab Sisters.,"VerdensKulturCentret, NÃ¸rre AllÃ© 7, Copenhagen N","Tues 5 December 2017, 8 pm.", 

Americana tuesday.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Tues 5 December 2017, 9 pm.",(Free admission)

Jeppe Gram Quartet feat. Jakob Dinesen.,"Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K","Tues 5 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)

Jule sang eftermiddag.,"Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby","Wed 6 December 2017, 3 pm.",(Free admission)

Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Bartof Station, Solbjergvej 3, Frederiksberg","Wed 6 December 2017, 4.30 pm.",(Entrance fee)

Kirkeministerens Julekoncert.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Wed 6 December 2017, 4.30 pm  - 6 pm.", 

Jam-session pÃ¥ Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 6 December 2017, 6 pm.",(Free admission)

Jazz: Dagens Jazz.,"Bibliografen, BagsvÃ¦rd Hovedgade 116 P, BagsvÃ¦rd","Wed 6 December 2017, 7 pm.", 

Julekoncert med MusikhÃ¸jskolen.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Wed 6 December 2017, 7 pm.",(Free admission)

Julekoncert med Gospelkoret Faith.,"Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby","Wed 6 December 2017, 7 pm  - 9 pm.", 

Trio Miilman-Thomsen-Rehling.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Wed 6 December 2017, 7.30 pm.",(Entrance fee: 150 DKK)

Debutkoncert - Einar Kyvik Bauge.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 6 December 2017, 7.30 pm.",(Free admission)

Julekoncert i Frederiksberg Slotskirke.,"Frederiksberg Slotskirke, Roskildevej 28, Frederiksberg","Wed 6 December 2017, 7.30 pm  - 9 pm.",(Free admission)


SÃ¸ren Kristiansen Trio.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 22 November 2017, 8 pm.",(Entrance fee: 260 DKK + evt. gebyr)

Mastodon (us) - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Wed 22 November 2017, 8 pm.","(Entrance fee: 360,00 DKK)"

Little Steven & The Disciples Of Soul - FÃ¥ Billetter.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Wed 22 November 2017, 8 pm.","(Entrance fee: 480,00 DKK)"

Chief 1 m. band.,"Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Wed 22 November 2017, 8 pm  - 10 pm.",(Entrance fee: 120 DKK.)

EZRA live pÃ¥ Loppen.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Wed 22 November 2017, 8.30 pm.",(Entrance fee: 40 DKK)

Nothing More.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Wed 22 November 2017, 9 pm.","(Entrance fee: 195,00 DKK)"

Tim Hagans / Marek Konarski Quintet.,"Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K","Wed 22 November 2017, 9 pm  - 11.30 pm.",(Entrance fee: 168 DKK + gebyr)

Bechmann Sidenius.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Wed 22 November 2017, 9.30 pm.", 

Lunchkoncert med cellosuiter af J.S. Bach.,"Frederiksberg Kirke, Pile AllÃ© 1, Frederiksberg C","Thur 23 November 2017, 1 pm  - 2 pm.", 

Frederiksberg GameLAB - bibliotekets brÃ¦tspilsklub.,"Biblioteket Danasvej, Danasvej 30 B, Frederiksberg C","Thur 23 November 2017, 4 pm.",(Entrance fee: Gratis billetter)

The Spirit of New Orleans Koncert - Fru Jensen's Selskabelige Forening.,"Fritidscentret Hedehuset, Hovedgaden 371, Hedehusene","Thur 23 November 2017, 6 pm.",(Entrance fee: 195 DKK.)

